domain	rank	taxon	total_genomes	species_clusters	hq_reps	n_class_hq	n_order_hq	n_family_hq	n_genus_hq	n_species_hq
Bacteria	phylum	UBA8481	7	5	3	1	1	2	3	3
Bacteria	phylum	Bdellovibrionota_F	5	4	2	1	1	2	2	2
Bacteria	phylum	DAOPZR01	3	2	2	1	1	1	2	2
Bacteria	phylum	DRYD01	20	11	2	1	1	1	2	2
Bacteria	phylum	DUMJ01	19	7	7	1	1	1	2	7
Bacteria	phylum	GCA-2686955	5	5	2	1	2	2	2	2
Bacteria	phylum	JAAXHH01	59	33	25	1	1	2	2	25
Bacteria	phylum	JADFOP01	16	3	2	1	2	2	2	2
Bacteria	phylum	JADJOY01	7	6	3	1	1	1	2	3
Bacteria	phylum	JAFGKV01	3	3	2	1	1	1	2	2
Bacteria	phylum	JAGOBX01	9	4	2	1	2	2	2	2
Bacteria	phylum	JAUVQV01	6	6	3	1	1	2	2	3
Bacteria	phylum	JAUYMQ01	3	3	2	1	1	1	2	2
Bacteria	phylum	SDB-A	7	6	5	1	1	1	2	5
Bacteria	phylum	SM23-31	18	12	3	1	2	2	2	3
Bacteria	phylum	Tectomicrobia	21	17	6	1	1	1	2	6
Bacteria	phylum	CAYJRR01	1	1	1	1	1	1	1	1
Bacteria	phylum	CAYMEV01	2	2	2	1	1	1	1	2
Bacteria	phylum	CAYUVA01	1	1	1	1	1	1	1	1
Bacteria	phylum	CAZDME01	3	3	1	1	1	1	1	1
Bacteria	phylum	CAZSTA01	1	1	1	1	1	1	1	1
Bacteria	phylum	CAZTWC01	1	1	1	1	1	1	1	1
Bacteria	phylum	CBDUZB01	8	4	2	1	1	1	1	2
Bacteria	phylum	DASVDK01	2	2	2	1	1	1	1	2
Bacteria	phylum	Desantisbacteria	9	2	1	1	1	1	1	1
Bacteria	phylum	JACPQY01	2	2	1	1	1	1	1	1
Bacteria	phylum	JACPSX01	2	2	1	1	1	1	1	1
Bacteria	phylum	JAEEML01	1	1	1	1	1	1	1	1
Bacteria	phylum	JAFGND01	1	1	1	1	1	1	1	1
Bacteria	phylum	JAHJDO01	10	9	5	1	1	1	1	5
Bacteria	phylum	JAJRZV01	1	1	1	1	1	1	1	1
Bacteria	phylum	JALSQH01	2	2	1	1	1	1	1	1
Bacteria	phylum	JBDRGX01	1	1	1	1	1	1	1	1
Bacteria	phylum	JBFMHD01	1	1	1	1	1	1	1	1
Bacteria	phylum	JBHIER01	2	2	1	1	1	1	1	1
Bacteria	phylum	Lindowbacteria	5	4	1	1	1	1	1	1
Bacteria	phylum	Myxococcota_C	11	6	1	1	1	1	1	1
Bacteria	phylum	Thermodesulfobiota	9	4	4	1	1	1	1	4
Bacteria	phylum	UBA2233	3	2	2	1	1	1	1	2
Bacteria	phylum	UBP13	11	3	2	1	1	1	1	2
Bacteria	phylum	UBP18	8	6	1	1	1	1	1	1
Bacteria	phylum	UBP7	13	8	1	1	1	1	1	1
Bacteria	phylum	2-12-FULL-45-22	2	2	0	0	0	0	0	0
Bacteria	phylum	BS750m-G25	1	1	0	0	0	0	0	0
Bacteria	phylum	CAYJOG01	1	1	0	0	0	0	0	0
Bacteria	phylum	CAYSBA01	1	1	0	0	0	0	0	0
Bacteria	phylum	Calescibacteriota	12	7	0	0	0	0	0	0
Bacteria	phylum	JACPUC01	1	1	0	0	0	0	0	0
Bacteria	phylum	JACQOV01	1	1	0	0	0	0	0	0
Bacteria	phylum	JAMORN01	1	1	0	0	0	0	0	0
Bacteria	phylum	JAMOTN01	1	1	0	0	0	0	0	0
Bacteria	phylum	JAUXIQ01	2	2	0	0	0	0	0	0
Bacteria	phylum	JBBIVP01	1	1	0	0	0	0	0	0
Bacteria	phylum	LJUI01	3	1	0	0	0	0	0	0
Bacteria	class	Gammaproteobacteria	273004	25165	17794	0	191	418	2550	17794
Bacteria	class	Alphaproteobacteria	51346	21473	14380	0	157	364	2343	14380
Bacteria	class	Clostridia	107138	20027	11044	0	35	209	2048	11044
Bacteria	class	Bacteroidia	103615	21942	14073	0	48	280	1980	14073
Bacteria	class	Minisyncoccia	6264	4322	3221	0	43	284	1198	3221
Bacteria	class	Actinomycetes	60544	14793	11364	0	37	91	895	11364
Bacteria	class	Patescibacteriia	2119	1457	1144	0	68	150	592	1144
Bacteria	class	Microgenomatia	2048	1411	1005	0	32	74	564	1005
Bacteria	class	Bacilli	112556	4864	4291	0	24	117	552	4291
Bacteria	class	Phycisphaerae	2786	1899	1082	0	10	30	543	1082
Bacteria	class	Bacilli_A	14528	3799	2187	0	16	43	513	2187
Bacteria	class	Verrucomicrobiia	8872	3767	2090	0	11	145	497	2090
Bacteria	class	Acidimicrobiia	7655	3543	1625	0	6	102	484	1625
Bacteria	class	Anaerolineae	4148	2674	1308	0	42	77	438	1308
Bacteria	class	Planctomycetia	3322	2132	1190	0	7	36	405	1190
Bacteria	class	Saccharimonadia	3105	1977	1353	0	7	81	397	1353
Bacteria	class	Dehalococcoidia	3184	2027	929	0	30	122	381	929
Bacteria	class	Cyanobacteriia	6343	2402	1654	0	27	64	374	1654
Bacteria	class	Ignavibacteria	2067	1243	908	0	13	39	333	908
Bacteria	class	Terriglobia	5814	4081	2329	0	9	16	332	2329
Bacteria	class	Gorgyraeia	1243	922	472	0	37	71	327	472
